"No","持ち手","技名","①②区分","種別","技名表記","動画URL"
"19","正面打ち","小手返し","①","立ち技","正面打ち 小手返し ①","https://x.com/samurai_kaze/status/795165253126369280"
"20","正面打ち","小手返し","②","立ち技","正面打ち 小手返し ②","https://x.com/samurai_kaze/status/801073254618185728"
"21","正面打ち","呼吸投げ","○","立ち技","正面打ち 呼吸投げ ○","https://x.com/samurai_kaze/status/1122164896823529472"
"22","正面打ち","自由技","○","立ち技","正面打ち 自由技 ○","https://x.com/samurai_kaze/status/1284862244354879488"
"23","※正面打ち","一ヵ条","①","座り技","※正面打ち 一ヵ条 ①","https://x.com/samurai_kaze/status/887319361408479233"
"24","※正面打ち","一ヵ条","②","座り技","※正面打ち 一ヵ条 ②","https://x.com/samurai_kaze/status/894230853798121472"
"25","※正面打ち","二ヵ条","①","座り技","※正面打ち 二ヵ条 ①","https://x.com/samurai_kaze/status/1069153013736996864"
"26","※正面打ち","二ヵ条","②","座り技","※正面打ち 二ヵ条 ②","https://x.com/samurai_kaze/status/1094482713170440192"
"27","※正面打ち","三ヵ条","①","座り技","※正面打ち 三ヵ条 ①","https://x.com/samurai_kaze/status/844574175624814592"
"28","※正面打ち","三ヵ条","②","座り技","※正面打ち 三ヵ条 ②","https://x.com/samurai_kaze/status/853605563619459074"
"29","※正面打ち","四ヵ条","①","座り技","※正面打ち 四ヵ条 ①","https://x.com/samurai_kaze/status/885558653083828224"
"30","※正面打ち","四ヵ条","②","座り技","※正面打ち 四ヵ条 ②","https://x.com/samurai_kaze/status/1097149734853140480"
"31","※正面打ち","側面入身投げ","①","座り技","※正面打ち 側面入身投げ ①","https://x.com/samurai_kaze/status/1002885559608532992"
"32","※正面打ち","側面入身投げ","②","座り技","※正面打ち 側面入身投げ ②","https://x.com/samurai_kaze/status/1117453507303362560"
"33","※正面打ち","正面入身投げ","①","座り技","※正面打ち 正面入身投げ ①","https://x.com/samurai_kaze/status/865964936261795840"
"34","※正面打ち","正面入身投げ","②","座り技","※正面打ち 正面入身投げ ②","https://x.com/samurai_kaze/status/903331483028303872"
"35","※正面打ち","肘締め","①","座り技","※正面打ち 肘締め ①","https://x.com/samurai_kaze/status/1089182415606542337"
"36","※正面打ち","肘締め","②","座り技","※正面打ち 肘締め ②","https://x.com/samurai_kaze/status/1117452992502833153"
"37","※正面打ち","肘当て呼吸投げ","①","座り技","※正面打ち 肘当て呼吸投げ ①","https://x.com/samurai_kaze/status/1089178126989516800"
"38","※正面打ち","肘当て呼吸投げ","②","座り技","※正面打ち 肘当て呼吸投げ ②","https://x.com/samurai_kaze/status/1089178929129172992"
"39","※正面打ち","小手返し","①","座り技","※正面打ち 小手返し ①","https://x.com/samurai_kaze/status/836593013308579840"
"40","※正面打ち","小手返し","②","座り技","※正面打ち 小手返し ②","https://x.com/samurai_kaze/status/902570549724844032"
"41","横面打ち","四方投げ","①","立ち技","横面打ち 四方投げ ①","https://x.com/samurai_kaze/status/805329606597177344"
"42","横面打ち","四方投げ","②","立ち技","横面打ち 四方投げ ②","https://x.com/samurai_kaze/status/810084470103547904"
"43","横面打ち","一ヵ条","①","立ち技","横面打ち 一ヵ条 ①","https://x.com/samurai_kaze/status/809087191808757760"
"44","横面打ち","一ヵ条","②","立ち技","横面打ち 一ヵ条 ②","https://x.com/samurai_kaze/status/817702126692372480"
"45","横面打ち","二ヵ条","①","立ち技","横面打ち 二ヵ条 ①","https://x.com/samurai_kaze/status/1233680413735784448"
"46","横面打ち","二ヵ条","②","立ち技","横面打ち 二ヵ条 ②","https://x.com/samurai_kaze/status/919164507162779649"
"47","横面打ち","三ヵ条","①","立ち技","横面打ち 三ヵ条 ①","https://x.com/samurai_kaze/status/821775861498003456"
"48","横面打ち","三ヵ条","②","立ち技","横面打ち 三ヵ条 ②","https://x.com/samurai_kaze/status/927184013210423296"
"49","横面打ち","四ヵ条","①","立ち技","横面打ち 四ヵ条 ①","https://x.com/samurai_kaze/status/822755995021557762"
"50","横面打ち","四ヵ条","②","立ち技","横面打ち 四ヵ条 ②","https://x.com/samurai_kaze/status/875482322807570432"
"51","横面打ち","側面入身投げ","①","立ち技","横面打ち 側面入身投げ ①","https://x.com/samurai_kaze/status/824585579446706176"
"52","横面打ち","側面入身投げ","②","立ち技","横面打ち 側面入身投げ ②","https://x.com/samurai_kaze/status/970339586541993984"
"53","横面打ち","正面入身投げ","①","立ち技","横面打ち 正面入身投げ ①","https://x.com/samurai_kaze/status/800247998185816064"
"54","横面打ち","正面入身投げ","②","立ち技","横面打ち 正面入身投げ ②","https://x.com/samurai_kaze/status/793452873778462721"
"55","横面打ち","肘締め","①","立ち技","横面打ち 肘締め ①","https://x.com/samurai_kaze/status/812671972760948736"
"56","横面打ち","肘締め","②","立ち技","横面打ち 肘締め ②","https://x.com/samurai_kaze/status/1058033503135133696"
"57","横面打ち","肘当て呼吸投げ","①","立ち技","横面打ち 肘当て呼吸投げ ①","https://x.com/samurai_kaze/status/1003610605838712832"
"58","横面打ち","肘当て呼吸投げ","②","立ち技","横面打ち 肘当て呼吸投げ ②","https://x.com/samurai_kaze/status/1003610605838712832"
"59","横面打ち","小手返し","①","立ち技","横面打ち 小手返し ①","https://x.com/samurai_kaze/status/886253890319990786"
"60","横面打ち","小手返し","②","立ち技","横面打ち 小手返し ②","https://x.com/samurai_kaze/status/962372481322381313"
"61","横面打ち","呼吸投げ","○","立ち技","横面打ち 呼吸投げ ○","https://x.com/samurai_kaze/status/1122165315628978176"
"62","横面打ち","自由技","○","立ち技","横面打ち 自由技 ○","https://x.com/samurai_kaze/status/1296493640815181824"
"63","※横面打ち","一ヵ条","①","座り技","※横面打ち 一ヵ条 ①","https://x.com/samurai_kaze/status/952193891922460672"
"64","※横面打ち","一ヵ条","②","座り技","※横面打ち 一ヵ条 ②","https://x.com/samurai_kaze/status/1061651442329542656"
"65","※横面打ち","二ヵ条","①","座り技","※横面打ち 二ヵ条 ①","https://x.com/samurai_kaze/status/1058677701253324800"
"66","※横面打ち","二ヵ条","②","座り技","※横面打ち 二ヵ条 ②","https://x.com/samurai_kaze/status/919165765181247489"
"67","※横面打ち","三ヵ条","①","座り技","※横面打ち 三ヵ条 ①","https://x.com/samurai_kaze/status/1087158538764353536"
"68","※横面打ち","三ヵ条","②","座り技","※横面打ち 三ヵ条 ②","https://x.com/samurai_kaze/status/904262648191041540"
"69","※横面打ち","四ヵ条","①","座り技","※横面打ち 四ヵ条 ①","https://x.com/samurai_kaze/status/1114539451890319361"
"70","※横面打ち","四ヵ条","②","座り技","※横面打ち 四ヵ条 ②","https://x.com/samurai_kaze/status/950074744497319936"
"71","※横面打ち","側面入身投げ","","座り技","※横面打ち 側面入身投げ",""
"72","※横面打ち","側面入身投げ","②","座り技","※横面打ち 側面入身投げ ②","https://x.com/samurai_kaze/status/934803189508947969"
"73","※横面打ち","正面入身投げ","①","座り技","※横面打ち 正面入身投げ ①","https://x.com/samurai_kaze/status/1497902119118327812?cxt=HHwWiMDS5dCCz8kpAAAA"
"74","※横面打ち","正面入身投げ","②","座り技","※横面打ち 正面入身投げ ②","https://x.com/samurai_kaze/status/870322021904678912"
"75","※横面打ち","肘締め","①","座り技","※横面打ち 肘締め ①","https://x.com/samurai_kaze/status/1101861743209283584"
"76","※横面打ち","肘締め","②","座り技","※横面打ち 肘締め ②","https://x.com/samurai_kaze/status/1175792119702667265"
"77","※横面打ち","肘当て呼吸投げ","①","座り技","※横面打ち 肘当て呼吸投げ ①","https://x.com/samurai_kaze/status/1308096955520745472"
"78","※横面打ち","肘当て呼吸投げ","②","座り技","※横面打ち 肘当て呼吸投げ ②","https://x.com/samurai_kaze/status/1308097174123630592"
"79","※横面打ち","小手返し","①","座り技","※横面打ち 小手返し ①","https://x.com/samurai_kaze/status/1082284786100559875"
"80","※横面打ち","小手返し","②","座り技","※横面打ち 小手返し ②","https://x.com/samurai_kaze/status/1140278667991371776"
"81","片手持ち","四方投げ","①","立ち技","片手持ち 四方投げ ①","https://x.com/samurai_kaze/status/789766668616552448"
"82","片手持ち","四方投げ","②","立ち技","片手持ち 四方投げ ②","https://x.com/samurai_kaze/status/793845541536796673"
"83","片手持ち","一ヵ条","①","立ち技","片手持ち 一ヵ条 ①","https://x.com/samurai_kaze/status/823915158703476736"
"84","片手持ち","一ヵ条","②","立ち技","片手持ち 一ヵ条 ②","https://x.com/samurai_kaze/status/823913640474488832"
"85","片手持ち","二ヵ条","①","立ち技","片手持ち 二ヵ条 ①","https://x.com/samurai_kaze/status/796020927116943360"
"86","片手持ち","二ヵ条","②","立ち技","片手持ち 二ヵ条 ②","https://x.com/samurai_kaze/status/798923403814006787"
"87","片手持ち","三ヵ条","①","立ち技","片手持ち 三ヵ条 ①","https://x.com/samurai_kaze/status/952666103955648512"
"88","片手持ち","三ヵ条","②","立ち技","片手持ち 三ヵ条 ②","https://x.com/samurai_kaze/status/807838226111049728"
"89","片手持ち","四ヵ条","①","立ち技","片手持ち 四ヵ条 ①","https://x.com/samurai_kaze/status/834045393105096705"
"90","片手持ち","四ヵ条","②","立ち技","片手持ち 四ヵ条 ②","https://x.com/samurai_kaze/status/829987000081997824"
"91","片手持ち","側面入身投げ","①","立ち技","片手持ち 側面入身投げ ①","https://x.com/samurai_kaze/status/794879147558350849"
"92","片手持ち","側面入身投げ","②","立ち技","片手持ち 側面入身投げ ②","https://x.com/samurai_kaze/status/796364866839670784"
"93","片手持ち","正面入身投げ","①","立ち技","片手持ち 正面入身投げ ①","https://x.com/samurai_kaze/status/817704142999146499"
"94","片手持ち","正面入身投げ","②","立ち技","片手持ち 正面入身投げ ②","https://x.com/samurai_kaze/status/862690132712857600"
"95","片手持ち","肘締め","①","立ち技","片手持ち 肘締め ①","https://x.com/samurai_kaze/status/899318925833326593"
"96","片手持ち","肘締め","②","立ち技","片手持ち 肘締め ②","https://x.com/samurai_kaze/status/929393702736314368"
"97","片手持ち","肘当て呼吸投げ","①","立ち技","片手持ち 肘当て呼吸投げ ①","https://x.com/samurai_kaze/status/843054052208394240"
"98","片手持ち","肘当て呼吸投げ","②","立ち技","片手持ち 肘当て呼吸投げ ②","https://x.com/samurai_kaze/status/843054732579033090"
"99","片手持ち","小手返し","①","立ち技","片手持ち 小手返し ①","https://x.com/samurai_kaze/status/797796351618600960"
"100","片手持ち","小手返し","②","立ち技","片手持ち 小手返し ②","https://x.com/samurai_kaze/status/843350151653601280"
"101","片手持ち","呼吸投げ","○","立ち技","片手持ち 呼吸投げ ○","https://x.com/samurai_kaze/status/1008370261576437761"
"102","片手持ち","自由技","○","立ち技","片手持ち 自由技 ○","https://x.com/samurai_kaze/status/1447159535223775233"
"103","※片手持ち","一ヵ条","","座り技","※片手持ち 一ヵ条",""
"104","※片手持ち","一ヵ条","②","座り技","※片手持ち 一ヵ条 ②","https://x.com/samurai_kaze/status/954732294966730752"
"105","※片手持ち","二ヵ条","①","座り技","※片手持ち 二ヵ条 ①","https://x.com/samurai_kaze/status/835435953778909186"
"106","※片手持ち","二ヵ条","②","座り技","※片手持ち 二ヵ条 ②","https://x.com/samurai_kaze/status/1028663776336273408"
"107","※片手持ち","三ヵ条","①","座り技","※片手持ち 三ヵ条 ①","https://x.com/samurai_kaze/status/1082285418547077120"
"108","※片手持ち","三ヵ条","②","座り技","※片手持ち 三ヵ条 ②","https://x.com/samurai_kaze/status/1358065378237181955"
"109","※片手持ち","四ヵ条","①","座り技","※片手持ち 四ヵ条 ①","https://x.com/samurai_kaze/status/932308845224796160"
"110","※片手持ち","四ヵ条","②","座り技","※片手持ち 四ヵ条 ②","https://x.com/samurai_kaze/status/1030811576423526401"
"111","※片手持ち","側面入身投げ","①","座り技","※片手持ち 側面入身投げ ①","https://x.com/samurai_kaze/status/839495600626262018"
"112","※片手持ち","側面入身投げ","","座り技","※片手持ち 側面入身投げ",""
"113","※片手持ち","正面入身投げ","①","座り技","※片手持ち 正面入身投げ ①","https://x.com/samurai_kaze/status/1462345869542318087"
"114","※片手持ち","正面入身投げ","②","座り技","※片手持ち 正面入身投げ ②","https://x.com/samurai_kaze/status/1034054926333177856"
"115","※片手持ち","肘締め","①","座り技","※片手持ち 肘締め ①","https://x.com/samurai_kaze/status/1139814661849673729"
"116","※片手持ち","肘締め","","座り技","※片手持ち 肘締め",""
"117","※片手持ち","肘当て呼吸投げ","①","座り技","※片手持ち 肘当て呼吸投げ ①","https://x.com/samurai_kaze/status/1092050506367692800"
"118","※片手持ち","肘当て呼吸投げ","②","座り技","※片手持ち 肘当て呼吸投げ ②","https://x.com/samurai_kaze/status/1092051255633969154"
"119","※片手持ち","小手返し","①","座り技","※片手持ち 小手返し ①","https://x.com/samurai_kaze/status/1097150212814950401"
"120","※片手持ち","小手返し","②","座り技","※片手持ち 小手返し ②","https://x.com/samurai_kaze/status/1112002130842312704"
"121","両手持ち","四方投げ","①","立ち技","両手持ち 四方投げ ①","https://x.com/samurai_kaze/status/893535398424596481"
"122","両手持ち","四方投げ","②","立ち技","両手持ち 四方投げ ②","https://x.com/samurai_kaze/status/893537725252370432"
"123","両手持ち","一ヵ条","①","立ち技","両手持ち 一ヵ条 ①","https://x.com/samurai_kaze/status/1084397552110206976"
"124","両手持ち","一ヵ条","②","立ち技","両手持ち 一ヵ条 ②","https://x.com/samurai_kaze/status/985840127346819072"
"125","両手持ち","二ヵ条","①","立ち技","両手持ち 二ヵ条 ①","https://x.com/samurai_kaze/status/806161601136971776"
"126","両手持ち","二ヵ条","②","立ち技","両手持ち 二ヵ条 ②","https://x.com/samurai_kaze/status/938066726113107969"
"127","両手持ち","三ヵ条","①","立ち技","両手持ち 三ヵ条 ①","https://x.com/samurai_kaze/status/916229807368691712"
"128","両手持ち","三ヵ条","②","立ち技","両手持ち 三ヵ条 ②","https://x.com/samurai_kaze/status/1051607509604036609"
"129","両手持ち","四ヵ条","①","立ち技","両手持ち 四ヵ条 ①","https://x.com/samurai_kaze/status/901833308144672768"
"130","両手持ち","四ヵ条","②","立ち技","両手持ち 四ヵ条 ②","https://x.com/samurai_kaze/status/1051769301642797056"
"131","両手持ち","側面入身投げ","①","立ち技","両手持ち 側面入身投げ ①","https://x.com/samurai_kaze/status/1044898185636761600"
"132","両手持ち","側面入身投げ","②","立ち技","両手持ち 側面入身投げ ②","https://x.com/samurai_kaze/status/1054473913084723200"
"133","両手持ち","正面入身投げ","①","立ち技","両手持ち 正面入身投げ ①","https://x.com/samurai_kaze/status/1006138242771456003"
"134","両手持ち","正面入身投げ","②","立ち技","両手持ち 正面入身投げ ②","https://x.com/samurai_kaze/status/881187693165649920"
"135","両手持ち","肘締め","①","立ち技","両手持ち 肘締め ①","https://x.com/samurai_kaze/status/965243135088476160"
"136","両手持ち","肘締め","②","立ち技","両手持ち 肘締め ②","https://x.com/samurai_kaze/status/896337487273967616"
"137","両手持ち","肘当て呼吸投げ","①","立ち技","両手持ち 肘当て呼吸投げ ①","https://x.com/samurai_kaze/status/1069150252777652229"
"138","両手持ち","肘当て呼吸投げ","②","立ち技","両手持ち 肘当て呼吸投げ ②","https://x.com/samurai_kaze/status/1069148836319252481"
"139","両手持ち","小手返し","①","立ち技","両手持ち 小手返し ①","https://x.com/samurai_kaze/status/843517183799963648"
"140","両手持ち","小手返し","②","立ち技","両手持ち 小手返し ②","https://x.com/samurai_kaze/status/853533011865776128"
"141","両手持ち","天地投げ","①","立ち技","両手持ち 天地投げ ①","https://x.com/samurai_kaze/status/826851447069302784"
"142","両手持ち","天地投げ","②","立ち技","両手持ち 天地投げ ②","https://x.com/samurai_kaze/status/841692992842870787"
"143","両手持ち","小手返し","①","立ち技","両手持ち 小手返し ①","https://x.com/samurai_kaze/status/802751153557512192"
"144","両手持ち","小手返し","②","立ち技","両手持ち 小手返し ②","https://x.com/samurai_kaze/status/831511405765406721"
"145","両手持ち","座り技呼吸法","③","立ち技","両手持ち 座り技呼吸法 ③",""
"146","両手持ち","座り技呼吸法","④","立ち技","両手持ち 座り技呼吸法 ④",""
"147","両手持ち","座り技呼吸法","⑤","立ち技","両手持ち 座り技呼吸法 ⑤","https://x.com/samurai_kaze/status/847730023750541312"
"148","両手持ち","呼吸投げ","○","立ち技","両手持ち 呼吸投げ ○","https://x.com/samurai_kaze/status/929632444789039104"
"149","両手持ち","自由技","○","立ち技","両手持ち 自由技 ○","https://x.com/samurai_kaze/status/995718803194503169"
"150","※両手持ち","一ヵ条","①","座り技","※両手持ち 一ヵ条 ①","https://x.com/samurai_kaze/status/1094586918690418690"
"151","※両手持ち","一ヵ条","②","座り技","※両手持ち 一ヵ条 ②","https://x.com/samurai_kaze/status/823199758244118528"
"152","※両手持ち","二ヵ条","","座り技","※両手持ち 二ヵ条","https://x.com/samurai_kaze/status/1180510542722584576"
"153","※両手持ち","二ヵ条","②","座り技","※両手持ち 二ヵ条 ②","https://x.com/samurai_kaze/status/1143535743643480065"
"154","※両手持ち","三ヵ条","","座り技","※両手持ち 三ヵ条",""
"155","※両手持ち","三ヵ条","②","座り技","※両手持ち 三ヵ条 ②","https://x.com/samurai_kaze/status/1064166344709427200"
"156","※両手持ち","四ヵ条","①","座り技","※両手持ち 四ヵ条 ①",""
"157","※両手持ち","四ヵ条","","座り技","※両手持ち 四ヵ条","https://x.com/samurai_kaze/status/965264832889946112"
"158","※両手持ち","側面入身投げ","①","座り技","※両手持ち 側面入身投げ ①","https://x.com/samurai_kaze/status/1078021536089395200"
"159","※両手持ち","側面入身投げ","","座り技","※両手持ち 側面入身投げ",""
"160","※両手持ち","正面入身投げ","","座り技","※両手持ち 正面入身投げ","https://x.com/samurai_kaze/status/1223553869751279617"
"161","※両手持ち","正面入身投げ","②","座り技","※両手持ち 正面入身投げ ②",""
"162","※両手持ち","肘締め","①","座り技","※両手持ち 肘締め ①",""
"163","※両手持ち","肘締め","②","座り技","※両手持ち 肘締め ②","https://x.com/samurai_kaze/status/964843947607580672"
"164","※両手持ち","肘当て呼吸投げ","①","座り技","※両手持ち 肘当て呼吸投げ ①","https://x.com/samurai_kaze/status/1228930410576351232"
"165","※両手持ち","肘当て呼吸投げ","②","座り技","※両手持ち 肘当て呼吸投げ ②","https://x.com/samurai_kaze/status/1228917220870250496"
"166","※両手持ち","小手返し","①","座り技","※両手持ち 小手返し ①","https://x.com/samurai_kaze/status/1297227117873119235"
"167","※両手持ち","小手返し","②","座り技","※両手持ち 小手返し ②","https://x.com/samurai_kaze/status/1297229805411168256"
"168","※両手持ち","天地投げ","①","座り技","※両手持ち 天地投げ ①","https://x.com/samurai_kaze/status/1099669958487752704"
"169","※両手持ち","天地投げ","②","座り技","※両手持ち 天地投げ ②","https://x.com/samurai_kaze/status/1464607731885641729"
"170","肘持ち","一ヵ条","①","立ち技","肘持ち 一ヵ条 ①","https://x.com/samurai_kaze/status/1064174257570111494"
"171","肘持ち","一ヵ条","②","立ち技","肘持ち 一ヵ条 ②","https://x.com/samurai_kaze/status/1292341616326463488"
"172","肘持ち","二ヵ条","①","立ち技","肘持ち 二ヵ条 ①","https://x.com/samurai_kaze/status/853220944474546176"
"173","肘持ち","二ヵ条","②","立ち技","肘持ち 二ヵ条 ②","https://x.com/samurai_kaze/status/906859361904947200"
"174","肘持ち","三ヵ条","①","立ち技","肘持ち 三ヵ条 ①","https://x.com/samurai_kaze/status/818834518928867329"
"175","肘持ち","三ヵ条","②","立ち技","肘持ち 三ヵ条 ②","https://x.com/samurai_kaze/status/840921473426505728"
"176","肘持ち","四ヵ条","①","立ち技","肘持ち 四ヵ条 ①","https://x.com/samurai_kaze/status/872108675577466883"
"177","肘持ち","四ヵ条","②","立ち技","肘持ち 四ヵ条 ②","https://x.com/samurai_kaze/status/848204836621307904"
"178","肘持ち","側面入身投げ","①","立ち技","肘持ち 側面入身投げ ①","https://x.com/samurai_kaze/status/983001980694970368"
"179","肘持ち","側面入身投げ","②","立ち技","肘持ち 側面入身投げ ②","https://x.com/samurai_kaze/status/903719355875074048"
"180","肘持ち","肘締め","①","立ち技","肘持ち 肘締め ①","https://x.com/samurai_kaze/status/918051472515801088"
"181","肘持ち","肘締め","②","立ち技","肘持ち 肘締め ②","https://x.com/samurai_kaze/status/1018542306033405952"
"182","※肘持ち","一ヵ条","①","座り技","※肘持ち 一ヵ条 ①","https://x.com/samurai_kaze/status/1069249862636527616"
"183","※肘持ち","一ヵ条","②","座り技","※肘持ち 一ヵ条 ②","https://x.com/samurai_kaze/status/1190947790639075328"
"184","※肘持ち","二ヵ条","①","座り技","※肘持ち 二ヵ条 ①","https://x.com/samurai_kaze/status/1119564197652615168"
"185","※肘持ち","二ヵ条","②","座り技","※肘持ち 二ヵ条 ②","https://x.com/samurai_kaze/status/1106935349379362817"
"186","※肘持ち","三ヵ条","","座り技","※肘持ち 三ヵ条","https://x.com/samurai_kaze/status/1472531434225414145"
"187","※肘持ち","三ヵ条","②","座り技","※肘持ち 三ヵ条 ②","https://x.com/samurai_kaze/status/884051112696795137"
"188","※肘持ち","四ヵ条","①","座り技","※肘持ち 四ヵ条 ①",""
"189","※肘持ち","四ヵ条","","座り技","※肘持ち 四ヵ条","https://x.com/samurai_kaze/status/1287529053382012928"
"190","※肘持ち","側面入身投げ","","座り技","※肘持ち 側面入身投げ","https://x.com/samurai_kaze/status/1066345819069005825"
"191","※肘持ち","側面入身投げ","②","座り技","※肘持ち 側面入身投げ ②",""
"192","※肘持ち","肘締め","①","座り技","※肘持ち 肘締め ①",""
"193","※肘持ち","肘締め","","座り技","※肘持ち 肘締め","https://x.com/samurai_kaze/status/1513108718766157824?cxt=HHwWgMDTiZ2X0v8pAAAA"
"194","肩持ち","一ヵ条","①","立ち技","肩持ち 一ヵ条 ①","https://x.com/samurai_kaze/status/1014554209176281089"
"195","肩持ち","一ヵ条","②","立ち技","肩持ち 一ヵ条 ②",""
"196","肩持ち","二ヵ条","①","立ち技","肩持ち 二ヵ条 ①","https://x.com/samurai_kaze/status/850989798886002688"
"197","肩持ち","二ヵ条","②","立ち技","肩持ち 二ヵ条 ②","https://x.com/samurai_kaze/status/867737082168344579"
"198","肩持ち","三ヵ条","①","立ち技","肩持ち 三ヵ条 ①","https://x.com/samurai_kaze/status/857677454332252160"
"199","肩持ち","三ヵ条","②","立ち技","肩持ち 三ヵ条 ②","https://x.com/samurai_kaze/status/825716224877219841"
"200","肩持ち","四ヵ条","①","立ち技","肩持ち 四ヵ条 ①","https://x.com/samurai_kaze/status/949602589183696896"
"201","肩持ち","四ヵ条","②","立ち技","肩持ち 四ヵ条 ②","https://x.com/samurai_kaze/status/1190920515793244160"
"202","肩持ち","側面入身投げ","①","立ち技","肩持ち 側面入身投げ ①","https://x.com/samurai_kaze/status/975037761022451712"
"203","肩持ち","側面入身投げ","②","立ち技","肩持ち 側面入身投げ ②","https://x.com/samurai_kaze/status/855769537618223104"
"204","肩持ち","肘締め","①","立ち技","肩持ち 肘締め ①","https://x.com/samurai_kaze/status/838029897750609921"
"205","肩持ち","肘締め","②","立ち技","肩持ち 肘締め ②","https://x.com/samurai_kaze/status/1078022613518016512"
"206","肩持ち","自由技","○","立ち技","肩持ち 自由技 ○","https://x.com/samurai_kaze/status/1150355588800401408"
"207","※肩持ち","一ヵ条","①","座り技","※肩持ち 一ヵ条 ①","https://x.com/samurai_kaze/status/1091410692496777216"
"208","※肩持ち","一ヵ条","②","座り技","※肩持ち 一ヵ条 ②","https://x.com/samurai_kaze/status/904338595678261249"
"209","※肩持ち","二ヵ条","①","座り技","※肩持ち 二ヵ条 ①","https://x.com/samurai_kaze/status/1449798934180728834"
"210","※肩持ち","二ヵ条","②","座り技","※肩持ち 二ヵ条 ②","https://x.com/samurai_kaze/status/1328002949159690241"
"211","※肩持ち","三ヵ条","①","座り技","※肩持ち 三ヵ条 ①","https://x.com/samurai_kaze/status/985841045828091906"
"212","※肩持ち","三ヵ条","","座り技","※肩持ち 三ヵ条","https://x.com/samurai_kaze/status/1332976517949767680"
"213","※肩持ち","四ヵ条","①","座り技","※肩持ち 四ヵ条 ①","https://x.com/samurai_kaze/status/1110103641992499200"
"214","※肩持ち","四ヵ条","","座り技","※肩持ち 四ヵ条",""
"215","※肩持ち","側面入身投げ","①","座り技","※肩持ち 側面入身投げ ①","https://x.com/samurai_kaze/status/1335471960134860802"
"216","※肩持ち","側面入身投げ","","座り技","※肩持ち 側面入身投げ",""
"217","※肩持ち","肘締め","①","座り技","※肩持ち 肘締め ①","https://x.com/samurai_kaze/status/1151095181157867526"
"218","※肩持ち","肘締め","","座り技","※肩持ち 肘締め",""
"219","胸持ち","一ヵ条","①","立ち技","胸持ち 一ヵ条 ①","https://x.com/samurai_kaze/status/1151093345378160641"
"220","胸持ち","一ヵ条","②","立ち技","胸持ち 一ヵ条 ②",""
"221","胸持ち","二ヵ条","①","立ち技","胸持ち 二ヵ条 ①","https://x.com/samurai_kaze/status/1041664230947090434"
"222","胸持ち","二ヵ条","②","立ち技","胸持ち 二ヵ条 ②","https://x.com/samurai_kaze/status/960011527423012864"
"223","胸持ち","三ヵ条","①","立ち技","胸持ち 三ヵ条 ①","https://x.com/samurai_kaze/status/896776990597959681"
"224","胸持ち","三ヵ条","②","立ち技","胸持ち 三ヵ条 ②","https://x.com/samurai_kaze/status/1304693910388662273"
"225","胸持ち","四ヵ条","①","立ち技","胸持ち 四ヵ条 ①","https://x.com/samurai_kaze/status/1059095989485633537"
"226","胸持ち","四ヵ条","②","立ち技","胸持ち 四ヵ条 ②","https://x.com/samurai_kaze/status/896776373213184002"
